编号,中文,英语,定义,注释
2.5.5.4,平行状水系,parallel drainage pattern,,注：如淮河蚌埠以上的水系。当暴雨中心由上游向下游移动时，极易发生洪水。
2.5.5.5,格状水系,trellised drainage pattern,由干支流沿着两组垂直相交的构造线发育而成的水系。,注：如闽江水系。
2.5.5.6,混合状水系,hybrid drainage pattern,由两种以上不同类型水系组合而成的水系。,
2.5.5.7,人工河网,artificial channel network,由人工构筑的运河、渠道或经整治的旧河道，形成干支流纵横交错的网状系统。2.5.6 水系特征 characteristics of drainage system 水系的拓扑学特征与几何学特征的总称。,注：拓扑学特征可用河源、节点、河链来描述，几何学特征可用河长、河弯、弯曲率、河底比降等来；描述。
2.5.6.1,河源,headwaters,河流最初具有地表径流的地方。,注：即河流的发源地，可为溪、泉、冰川、沼泽或湖泊等。根据水往低处流的特点，河源一般分布于；山脉。
2.5.6.2,节点,confluence；node,,
2.5.6.3,出口,outlet,整个水系中的径流及其所携带物质输出的地方。,
2.5.6.4,河链,stream chain,河源与相邻节点、相邻两个节点以及出口与相邻节点之间的连接河段。,
2.5.6.5,河长,river length,河流从河源沿着主流线到河口的平面投影长度。,
2.5.6.5,河弯,river bend,河流改变水流方向，水道具有一定曲率的河段。,
2.5.6.6,弯曲率,tortuosity,河流上任意两个横断面之间沿主流线距离的平面投影长度与其直线距离的平面投影长 度的比值。,
2.5.6.7,河底比降,bed slope；river bottom slope,河流上相邻两个横断面的平均河底高程之差与该河段河长的比值。,
2.5.7,明渠,open channel,纵向边界由床底和岸堤组成，其中流淌的水流具有自由水面的通道。,注：分天然明渠和人工明渠，前者如天然河道；后者如人工输水渠道、运河以及未充满水流的管道等。
2.5.8,河流,river；stream,陆地表面宣泄水流的通道，是溪、川、江、河等的总称。,
2.5.8.1,常年河,perennial stream,,
2.5.8.2,间歇河,ephemeral stream；intermittent stream,直接因降水，或冰雪融水，或间歇性泉水才有水流流动的河流。2.5.8.3 悬河 perched stream 地上河 suspended river河床高出两岸地面的河流。,
2.5.8.4,夺流河,beheaded stream,由于另一河道的溯源发育作用，使一河流源头或上游的水流被引走的河流。,
2.5.8.5,盈水河,gaining stream；effluent stream,通过地下饱和带获得外来补给水源的河流。2.5.8.6 亏水河 losing stream 水量流失到地下和外流补给饱和带的河流。,
2.5.8.7,外流河,exorheic river,直接或经干流间接流入海洋的河流。,
2.5.8.8,内陆河,endorheic river,不能流入海洋，只能流入内陆湖泊或在内陆消失的河流。,
2.5.8.9,深切河,incised river,因冲刷过程形成河槽的河流。,
2.5.8.10,辫状河,braided river,具有宽浅河槽，河槽中有许多被沙洲分隔的交织小河道的河流。,注 1：辫状河的主堤岸几乎不受侵蚀。；注 2：辫状河的主槽几乎没有弯曲河段，但是小河道中有许多弯曲河段。
2.5.8.11,冲积河流,alluvial river,水流流过冲积层所形成的河流。,注：冲积层是在河流沉积作用下形成的。
2.5.9,河口,estuary；river mouth,河流汇入海洋、湖泊或其他河流的出口处附近的宽阔河段。2.5.10 冲沟 gully 由暴雨或融雪等产生的间断性径流在地表冲刷形成的水道。2.5.11 溪流 brook 沿着山间峡谷连续湍急流淌的小的浅水河流。,注：溪流的河道通常是不规则的，其中有许多的大卵石、暗礁或是小的跌水，这些障碍物形成了溪流；中的湍流。
2.5.12,支流,tributary,流入更大河流或湖泊的河流。,
2.5.13,干流,main river,在水系中，汇集全流域径流，并注入海洋、湖泊或其他河流等另一水体的水道。2.5.14 分支 fork 在河流同一地点有两条或两条以上的水道分出。,
2.5.15,汇合,confluence,两条或两条以上的水道合并形成一条水道。,
2.5.16,串沟,erosion ditch,水流在滩地上冲刷形成的沟槽。2.5.17 运河 canal 通常具有规则横断面的人工明渠。2.5.18 减河 relief channel 为分泄河流的超额洪水而开辟的分洪水道。,
2.5.19,伏流,subterranean stream,地下暗河 underground river 喀斯特地区地下水沿裂隙溶蚀而成的地下径流汇集和排泄的通道。2.5.20 河道复流 resurgence 河道再生 河流上游段消失的地面水流，经过地下通道在它的下游段重现于地面的现象。,
2.5.21,洪泛区,flood plain,当河道流量超过河道输水能力时被洪水淹没的河流沿岸地区。2.5.22 界河 boundary river 以河流主流线划分国界或行政区划的河流。,
2.5.23,国际河流,international river,通常指分隔或流经两个或两个以上国家的河流。,注 1：即不是完全处于一个国家的国境内的河流。；注 2：有时特指通过条约规定对所有国家开放航行的流经多国的河流。
2.5.23,跨界河流,transboundary river,通常指分隔或流经两个或两个以上国家的河流。,注 1：即不是完全处于一个国家的国境内的河流。；注 2：有时特指通过条约规定对所有国家开放航行的流经多国的河流。
2.5.24,古河道,paleochannel,废河道 abandoned channel 河流他移后被废弃的河道。,
2.5.25,岸,bank,河流、湖泊、沼泽、海洋等水体水边的陆地。,
2.5.25.1,左岸,left bank,面向下游时河流的左侧边界。,
2.5.25.2,右岸,right bank,面向下游时河流的右侧边界。,
2.5.25.3,凹岸,concave bank,弯曲河段的两侧河岸中，离河槽曲率中心远的一侧河岸。,
2.5.25.4,凸岸,convex bank,弯曲河段的两侧河岸中，离河槽曲率中心近的一侧河岸。,
2.5.25.5,岸壁,land wall；bulkhead wall,河流两岸成陡状或坡状岸形的边壁。,
2.5.25.6,水边线,water edge,岸线 water front 水体水面与陆地岩土接触的界线。,
2.5.25.7,堤防,levee；dyke；dike；embankment；bund,沿河、渠、湖、海岸边或行洪区、分洪区、围垦区的边缘修筑的挡水建筑物。,
2.5.25.8,岸坡比降,bank slope,岸坡的水平宽度与垂直高度的比值。,
2.5.26,航道,navigable channel,在河、渠、湖、库和港湾等水域内供船、木竹筏航行的通道。,
2.5.27,河段,reach,限定两横断面间的河流。,
2.5.27.1,上游,upstream,靠近河源或与水流正常方向相反的河段。,
2.5.27.2,中游,middle stream,上、下游中间的河段。,
2.5.27.3,下游,downstream,靠近河口或与水流正常方向一致的河段。,
2.5.27.4,控制河段,control reach,对某断面水位流量关系起控制作用的河段。,
2.5.27.5,顺直河段,straight reach,河流两侧岸边水边线大体平行，弯曲率小的河段。,
2.5.27.6,弯曲河段,meandering reach,河道水流的平面形态非顺直、曲率较大的河段。,
2.5.27.7,过渡河段,transitional reach,两个河弯之间的转折河段，该河段的主流从河渠的一侧横穿到另一侧。,注：在过渡河段中，水流深度一般较正常水深有所减小，流态比弯曲河段跟均匀。
2.5.27.8,扩散河段,expanding reach,顺水流方向上，河道横断面面积逐渐增大的河段。,
2.5.27.9,收缩河段,converging reach,顺水流方向上，河道横断面面积逐渐减小的河段。,
2.5.27.10,游荡河段,wandering reach,水流湍急、沙滩密布、汊道交织、河床变化迅速、主流摆动不定的河段。,
2.5.27.11,感潮河段,tidal reach,,
2.5.27.12,三角洲河段,delta reach,河流接近海洋的河段，该河段河底比降和水面比降非常平缓，水流流动缓慢，泥沙沉积 导致河流分汊，最终形成三角洲。,
2.5.27.13,裁弯取直,channel cutoff,裁去河道的弯曲部分，缩短河道流程，加大河道比降的治河措施。2.5.28 河槽 channel河床 river bed 河谷中平水期水流所占据的谷底部分。,
2.5.28.1,稳定河槽,stable channel,河床和边壁长期明显保持稳定，在洪水涨落过程中冲淤相对平衡的明渠。,
2.5.28.2,不稳定河槽,unstable channel,河床冲淤变化大，边壁频繁而显著地变动，水位流量关系随时间而变化的明渠。,
2.5.28.3,枯水河床,low-flow channel,枯水期低水流量占据的部分河床。,
2.5.28.4,主槽,main channel,水深最大的那部分河槽。,
2.5.28.5,单式河槽,single channel,,
2.5.28.6,复式河槽,compound channel,由主槽与左、右滩地或与一岸滩地组成的明渠。,
2.5.28.7,潮汐河槽,tidal channel,水流受潮汐作用影响的明渠。,
2.5.28.8,弯曲河槽,meandering channel,水流蜿蜒流淌，堤岸侵蚀与沙洲形成交替发生的明渠。,
2.5.28.9,断面特性,cross-section characteristics,断面位置、几何特征、组成物质、水流形态及其变化的性质。,
2.5.29,河床形态,channel morphology,河床表面的形状。,
2.5.29.1,浅滩,shoal,河流、湖泊、海滨的浅水滩地，由沙、砾石等组成的沉积体。,
2.5.29.2,急流滩,torrent rapids,水流受河床边界影响，形成的比降大、水流湍急的河段。,
2.5.29.3,河漫滩,flood plain,位于河床主槽两侧，在洪水时被淹没，中水时出露的滩地。,
2.5.29.4,三角洲,delta,在河口处由冲积物淤积将河流分为两股或两股以上水流的三角形窿起扇形平原。,
2.5.29.5,江心洲,middle bar,河槽中与两岸不相连接，在中水位时出露的沙洲。,
2.5.29.6,潜洲,submerged bar,河槽中经常淹没在水下的沙洲。,
2.5.29.7,深潭,deep pool,河槽中低于河底附近平均高程的深坑。2.5.30 河流阶地 river terrace 河流下切侵蚀，原来的河谷底部超出一般洪水位，呈阶梯状分布在河谷谷坡上的地形。,
2.5.31,裸露河滨滩地,bare riverside beach,河道内裸露的河流沉积形成缺少连续植被覆盖的沉积物地带。,
2.5.32,河道走廊,river corridor,河道岸坡与陆地近河地带，陆生与水生生态系统物质传输的地区。,
2.6.1,河流水情,hydrological regime in river,河流的水位、流量、含沙量等水文要素随时间的变化情势。,
2.6.2,水位,stage；water level,河流、渠道、湖泊或水库等的自由水面相对于某一指定基面的高程。,
2.6.3,流量,discharge,单位时间内通过河流或渠道某一过水断面的水量，单位是 m3/s。,
2.6.3.1,平均流量,mean discharge,某一测量断面处一定时段内流量的平均值。,注：如年、月、日平均流量等。
2.6.3.2,单位流量,unit discharge,通过某一垂直断面单位宽度的流量。,
2.6.4,流速,flow velocity,水的质点在单位时间内沿流程移动的距离，单位是 m/s。,
2.6.5,汛,seasonal flood,江河等水域的季节性或周期性涨水现象。,
2.6.5.1,春汛,spring flood,春季由于积雪融化、河冰解冻或春雨引起的江河等水域涨水现象。,
